Людина,Заголовок,Дата,Джерело,Посилання
KSЕ Агроцентр,❌ Нічого не знайдено,,,
Олег Нів’євський,Олег Нів’євський,"Feb 16, 2019",Kyiv School of Economics,https://kse.ua/ua/people/oleg-nivievskyi/
Олег Нів’євський,"Дешева нафта — вирок для біопалива, - думка","Apr 11, 2025",Форум «ДЕНЬ АГРОНОМА»,https://agrotimes.ua/agromarket/desheva-nafta-vyrok-dlya-biopalyva-dumka/
Олег Нів’євський,Олег Нів'євський: Купівля-продаж тільки державних земель сільгосппризначення на першому етапі запровадження ринку не вирішить жодних проблем,"Jun 27, 2019",Agravery.com,https://agravery.com/uk/posts/show/oleg-nivevskij-kupivla-prodaz-tilki-derzavnih-zemel-silgosppriznacenna-na-persomu-etapi-zaprovadzenna-rinku-ne-virisit-zodnih-problem
Олег Нів’євський,Ринок землі в Україні: скільки коштує гектар,"Jun 11, 2025",UKR.NET,https://www.ukr.net/news/details/economics/105012117.html
Олег Нів’євський,Блокування морських портів призвело до мільярдних втрат серед аграріїв: озвучені цифри,"Mar 23, 2023",AgroPolit.com,https://agropolit.com/news/25233-blokuvannya-morskih-portiv-prizvelo-do-milyardnih-vtrat-sered-agrariyiv-ozvucheni-tsifri
Олег Нів’євський,Невідшкодування ПДВ експортерам сої або Про економічні наслідки «Соєвих правок»,"Oct 29, 2019",VoxUkraine,https://voxukraine.org/nevidshkoduvannya-pdv-eksporteram-soyi-abo-pro-ekonomichni-naslidki-soyevih-pravok
Олег Нів’євський,Зернова угода зробила свою справу. Що далі?,"Jul 26, 2023",Forbes.ua,https://forbes.ua/money/vikhid-rosii-z-zernovoi-ugodi-ne-kritichniy-kritichniy-dunay-agroekspert-oleg-nivevskiy-rozvinchav-odin-z-putinskikh-mifiv-shchodo-ugodi-ta-rozpoviv-chomu-vona-bula-nevigidnoyu-dlya-silgospvirobnikiv--26072023-15050
Олег Нів’євський,Заборона експорту лісу-кругляка та мито на експорт насіння соняшнику,"Dec 19, 2016",AgroPortal.ua,https://agroportal.ua/blogs/zapret-eksporta-lesakruglyaka-i-poshlina-na-eksport-semyan-podsolnechnika
Олег Нів’євський,Верховна Рада схвалила ріпаково-соєві правки - ZAXID.NET,"Jul 16, 2025",Zaxid.net,https://zaxid.net/verhovna_rada_uhvalila_zakon_pro_skandalni_ripakovo_soyevi_pravki_n1614880
Олег Нів’євський,"Форвардний контракт: інструмент, що дарує фермеру спокій","Nov 24, 2017",Куркуль,https://kurkul.com/blog/480-forvardniy-kontrakt-instrument-scho-daruye-fermeru-spokiy
Олег Нів’євський,Українські порти втрачатимуть до $170 млн щоденно через морські навчання РФ,"Feb 11, 2022",Agravery.com,https://agravery.com/uk/posts/show/ukrainski-porti-vtracatimut-do-170-mln-sodenno-cerez-morski-navcanna-rf
Марія Богонос,Марія Богонос,"Jan 25, 2022",Kyiv School of Economics,https://kse.ua/ua/people/mariya-bogonos/
Марія Богонос,Серія дискусій KSE Агроцентру. Дискусія 5: Післявоєнна відбудова та приєднання до ЄС: визначення завдань для науковців та дослідників на наступне десятиліття,"Dec 21, 2023",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/seriya-diskusiy-kse-agrotsentru-diskusiya-5-pislyavoyenna-vidbudova-ta-priyednannya-do-yes-viznachennya-zavdan-dlya-naukovtsiv-ta-doslidnikiv-na-nastupne-desyatilittya/
Марія Богонос,Вітаємо Марію Анатоліївну Богонос!,"Feb 23, 2019",Волинь-нова,https://www.volyn.com.ua/news/122058-vitaiemo-mariiu-anatoliivnu-bohonos
Марія Богонос,"Forbes склав список «15 українських лідерок у науці», серед яких є представниця ІТ-галузі","Feb 13, 2024",dev.ua,https://dev.ua/news/forbes-sklav-spysok-15-ukrainskykh-liderok-u-nautsi-sered-iakykh-ie-predstavnytsi-it-haluzi-1707827519
Марія Богонос,15 найкращих науковиць України. Forbes склав список,"Feb 13, 2024",Forbes.ua,https://forbes.ua/lifestyle/15-liderok-v-ukrainskiy-nautsi-spisok-forbes-13022024-19132
Марія Богонос,"""35 днів оборони Торецька"": в Одесі презентували документальний фільм",1 month ago,Vgorode.ua,https://od.vgorode.ua/ukr/news/sobytyia/a1280984-35-dniv-oboroni-toretska-v-odesi-prezentuvali-dokumentalnij-film
Марія Богонос,Серія дискусій KSE Агроцентру Дискусія 2: Партнерство країн Африки та України: взаємовигідна співпраця з Північною Африкою,"Dec 1, 2023",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/seriya-diskusiy-kse-agrotsentru-diskusiya-2-partnerstvo-krayin-afriki-ta-ukrayini-vzayemovigidna-spivpratsya-z-pivnichnoyu-afrikoyu/
Марія Богонос,Партнерство країн Африки та України в сільському господарстві: розкриття потенціалу співпраці з країнами Західної Африки,"Jun 27, 2024",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/partnerstvo-krayin-afriki-ta-ukrayini-v-silskomu-gospodarstvi-rozkrittya-potentsialu-spivpratsi-z-krayinami-zahidnoyi-afriki/
Павло Мартишев,Мировой рынок пшеницы: курс на повышение,"Sep 7, 2017",Latifundist.com,https://latifundist.com/blog/read/1804-mirovoj-rynok-pshenitsy-kurs-na-povyshenie
Валентин Літвінов,Почесний президент KSE Тимофій Милованов зустрівся з підтримуваним студентом Валентином Літвіновим,"Mar 1, 2019",Kyiv School of Economics,https://kse.ua/ua/community/stories/pochesniy-prezident-kse-timofiy-milovanov-zustrivsya-z-pidtrimuvanim-studentom-valentinom-litvinovim/
Валентин Літвінов,Як війна вплинула на ринок макаронів в Україні. Дослідження KSE Агроцентру,"Dec 23, 2023",UKR.NET,https://www.ukr.net/news/details/economics/101733128.html
Валентин Літвінов,Намастиш на хліб — скільки коштує масло у Калуші?,"Oct 17, 2022",Інформатор Калуш,https://kalush.informator.ua/2022/10/17/namastysh-na-hlib-skilky-koshtuye-maslo-u-kalushi/
Валентин Літвінов,В Україні зросли ціни на масло: чого чекати далі (відео),"Aug 10, 2022",УНІАН,https://www.unian.ua/economics/agro/v-ukrajini-zrosli-cini-na-maslo-chogo-chekati-dali-video-novini-11936058.html
Валентин Літвінов,"Упаковки стали менші, а ціни — ні: що таке шрінкфляція і чому виробники зменшують вагу товарів, але залишають ту саму вартість","Mar 21, 2025",1+1,https://1plus1.ua/snidanok-z-1-1/novyny/shrinkfliatsiia-shcho-tse-take-ta-chomu-vyrobnyky-zmenshuiut-vahu-tovariv-ale-zalyshaiut-tu-samu-vartist
Валентин Літвінов,Продукти на ринках Буковини подорожчали: як і на що змінилися ціни,"Nov 5, 2023",Молодий буковинець,https://molbuk.ua/news/298200-produkty-na-rynkakh-bukovyny-podorozhchaly-iak-i-na-shcho-zminylysia-ciny.html
Валентин Літвінов,"Експерт пояснив, чому зростає євро та долар останнім часом","Mar 31, 2024",УНІАН,https://www.unian.ua/economics/finance/kurs-valyut-v-ukrajini-ekspert-poyasniv-chomu-zrostaye-yevro-ta-dolar-12589632.html
Валентин Літвінов,"Домашня консервація чи магазинна: експерти розповіли, що краще","Sep 30, 2022",Факти ICTV,https://health.fakty.com.ua/ua/tilo/domashnya-konservacziya-chy-magazynna-eksperty-rozpovily-shho-krashhe/
Валентин Літвінов,"Олексій Іванович Літвінов: біографія, компромат, доходи","Aug 23, 2020",znaj.ua,https://znaj.ua/dossier/747-oleksiy-ivanovich-litvinov-biografiya-kompromat-dohodi
Іван Колодяжний,24 лютого 2022-го вже зробив перший постріл по окупантах,"Oct 6, 2023",АрміяInform – Інформаційне агентство АрміяInform,https://armyinform.com.ua/2023/10/06/24-lyutogo-2022-go-vzhe-zrobyv-pershyj-postril-po-okupantah/
Іван Колодяжний,Через обвал ґрунту під час будівництва фортифікацій на Харківщині загинув боєць із Франківщини Володимир Колодяжний,"Jun 8, 2025",Суспільне | Новини,https://suspilne.media/ivano-frankivsk/1037285-cerez-obval-gruntu-pid-cas-budivnictva-fortifikacij-na-harkivsini-zaginuv-boec-iz-frankivsini-volodimir-kolodaznij/
Іван Колодяжний,У Шполі відзначили нагородами захисників України (ФОТО),"Oct 1, 2024",UKR.NET,https://www.ukr.net/news/details/fotoreportazh/107095360.html
Іван Колодяжний,"Скоріше живе, ніж мертве: як українське вівчарство здійснило експортний прорив","Jan 27, 2021",AgroPortal.ua,https://agroportal.ua/publishing/analitika/skoree-zhiv-chem-mertv-kak-ukrainskoe-ovtsevodstvo-osushchestvilo-eksportnyi-proryv
Іван Колодяжний,Під час вивезення Цемаха з ОРДО загинув визначний розвідник 74 орб Колодяжний,"Sep 6, 2019",Новинарня,https://novynarnia.com/2019/09/06/zaginuv-kolodiazhnyj/
Іван Колодяжний,На Харківщині загинув Володимир Колодяжний з Франківщини,"Jun 8, 2025",Galka.if.ua Новини Івано-Франківська,https://galka.if.ua/na-kharkivshchyni-pid-chas-zvedennia-fortyfikatsiynykh-sporud-pomer-volodymyr-kolodiazhnyy-z-frankivshchyny/
Іван Колодяжний,За останній тиждень стало відомо про загибель 16-х захисників з Полтавщини,"Oct 7, 2022",Інтернет-видання «Полтавщина,https://poltava.to/news/68165/
Іван Колодяжний,Через обвал ґрунту під час будівництва фортифікацій загинув військовослужбовець з Прикарпаття Володимир Колодяжни,"Jun 8, 2025",Агенція новин Фіртка,https://firtka.if.ua/blog/view/cherez-obval-gruntu-pid-chas-budivnitstva-fortifikatsii-zaginuv-viiskovosluzhbovets-z-prikarpattia-volodimir-kolodiazhnii
Іван Колодяжний,Бурштинська громада попрощалася з Героєм Володимиром Колодяжним,"Jun 13, 2025",UKR.NET,https://www.ukr.net/news/details/ivano_frankivsk/111867481.html
Елліна Юрченко,Елліна Юрченко,"Sep 13, 2023",Kyiv School of Economics,https://kse.ua/ua/people/ellina-yurchenko/
Елліна Юрченко,Маніпулятивна мова влади: що насправді стоїть за словами парламентарів,"Jul 21, 2025",VoxUkraine,https://voxukraine.org/manipulyatyvna-mova-vlady-shho-naspravdi-stoyit-za-slovamy-parlamentariv
Елліна Юрченко,Ціна на землю: що очікувати з 1 липня,"Jun 28, 2021",Економічна правда,https://epravda.com.ua/columns/2021/06/28/675386/
Елліна Юрченко,Промовчати чи маніпулювати? Як депутати пояснили свою підтримку законопроєкту №12414,"Jul 25, 2025",detector.media,https://detector.media/infospace/article/242946/2025-07-25-promovchaty-chy-manipulyuvaty-yak-deputaty-poyasnyly-svoyu-pidtrymku-zakonoproiektu-12414/
Елліна Юрченко,Топ-5 регіонів України з найвищою та найнижчою вартістю землі,"Jul 8, 2021",NV Бизнес,https://biz.nv.ua/ukr/economics/top-5-regioniv-ukrajini-z-nayvishchoyu-na-naynizhchoyu-vartistyu-zemli-novini-ukrajini-50170159.html
Елліна Юрченко,Понад 1200 гектарів землі продав бізнес після відкриття ринку,"Apr 17, 2024",Investory News,https://investory.news/ponad-1200-gektariv-zemli-prodav-biznes-pislya-vidkrittya-rinku/
Елліна Юрченко,Ринок землі в Україні: названа ціна гектара,"Jul 10, 2021",Главком,https://glavcom.ua/economics/finances/rinok-zemli-v-ukrajini-nazvana-cina-gektara-768205.html
Елліна Юрченко,"Топ-10 компаній, які володіють землею в Україні","Apr 17, 2024",AgroPortal.ua,https://agroportal.ua/news/ukraina/top-10-kompaniy-yaki-volodiyut-zemleyu-v-ukrajini
Григорій Стольнікович,Індекс доступності продовольства у червні знизився на 48% порівняно з довоєнним значенням,"Aug 5, 2022",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/indeks-dostupnosti-prodovolstva-u-chervni-znizivsya-na-48-porivnyano-z-dovoyennim-znachennyam/
Артур Бурак,"В КГК озвучили, сколько сгнившей древесины так и не вывезли...",1 month ago,Могилев.Онлайн,https://mogilev.online/2025/09/08/kgk-ozvuchili-skolko-sgnivshej-drevesiny-tak-i-ne-vyvezli-iz-belorusskih-lesov.html
Артур Бурак,"В КГК назвали количество сгнившей древесины, которую не вывезли из лесов Беларуси",1 month ago,Telegraf.news - Новости Беларуси и мира,https://telegraf.news/ehkonomika/v-kgk-nazvali-kolichestvo-sgnivshej-drevesiny-kotoruju-ne-vyvezli-iz-lesov-belarusi/
Артур Бурак,"Бренд-шеф Артур Шахназарян стал победителем шоу ""Молодые ножи"", восхитив жюри блюдом из сига (ВИДЕО)","Nov 25, 2021","АМИ ""Новости-Армения""",https://newsarmenia.am/news/society/brend-shef-artur-shakhnazaryan-stal-pobeditelem-shou-molodye-nozhi-voskhitiv-zhyuri-blyudom-iz-siga-/
Артур Бурак,"На стройке в Алматы, где был Бурак Озчивит, пока работают только экскаваторы","May 8, 2025",Kursiv Media,https://kz.kursiv.media/2025-05-08/mtww-burak-ozch/
Артур Бурак,ТОП 10 худших игроков сезона 21/22 – Футбол,"May 12, 2022",sportliga.com,https://sportliga.com/blogs/top-10-xudsix-igrokov-sezona-2122-14731
Артур Бурак,Слишком настойчивая: Бурак Озчивит заблокировал Ольгу Бузову?,"Jul 29, 2022",Новое Радио,http://newradio.ru/news/slishkom-nastoichivaia-burak-ozchivit-zablokiroval-olghu-buzovu
Артур Бурак,Снежные Барсы терпят третье поражение подряд на выезде,"Oct 8, 2024",HC Barys,https://ru.hcbarys.kz/media/news/snezhnye-barsy-terpyat-trete-porazhenie-podryad-na-vyezde-/
Артур Бурак,- Бронзовому призеру СССР и заслуженному тренеру Якутии – 65 лет,"Sep 12, 2023",sakhalife,https://sakhalife.ru/bronzovomu-prizeru-sssr-i-zasluzhennomu-treneru-yakutii-65-let/
Артур Бурак,Новые министры и неожиданные ротации в посольствах. Лукашенко рассмотрел кадровые вопросы,"Jan 14, 2025",СБ. Беларусь сегодня,https://www.sb.by/articles/novye-ministry-i-neozhidannye-rotatsii-v-posolstvakh-lukashenko-rassmotrel-kadrovye-voprosy.html
Артур Бурак,Новые министры и неожиданные ротации в посольствах. Лукашенко рассмотрел кадровые вопросы,"Jan 14, 2025",БелТА,https://belta.by/president/view/novye-ministry-i-neozhidannye-rotatsii-v-posolstvah-lukashenko-rassmotrel-kadrovye-voprosy-688664-2025/
Роксолана Назаркіна,Чи допомогла Чорноморська зернова ініціатива українським аграріям?,"Jul 4, 2023",VoxUkraine,https://voxukraine.org/chy-dopomogla-chornomorska-zernova-initsiatyva-ukrayinskym-agrariyam
Аліна Одинець,Баскетболісти Конотопської ДЮСШ вибороли медалі Відкритого турніру Бахмацької територіальної громади зі стрітболу,"Oct 3, 2023",Голос Конотопа,https://konotop.in.ua/basketbolisti-konotopskoyi-dyussh-viboroli-medali-vidkritogo-turniru-bahmatskoyi-teritorialnoyi-gromadi-zi-stritbolu/
Олександр Перехожук,"Економічні академічні дослідження, роботи та публікації: як написати та подати статтю в цитовані журнали","Dec 20, 2017",Національний університет біоресурсів і природокористування України,https://nubip.edu.ua/news/ekonomichni-akademichni-doslidzhennya-roboty-ta-publikatsiyi-yak-napysaty-ta-podaty-stattyu-v
Олександр Перехожук,Ринки земель сільськогосподарського призначення в Німеччині: факти та тенденції,"Nov 1, 2016",AgroPortal.ua,https://agroportal.ua/publishing/lichnyi-vzglyad/rynki-zemel-selskokhozyaistvennogo-naznacheniya-v-germanii-fakty-i-tendentsii
Олександр Перехожук,Перспективи земельної реформи в Україні: дискусія на базі IAMO,"Dec 6, 2022",Національний університет біоресурсів і природокористування України,https://nubip.edu.ua/news/perspektyvy-zemelnoyi-reformy-v-ukrayini-dyskusiya-na-bazi-iamo-1
Вільям Мейєрс,❌ Нічого не знайдено,,,
Василь Квартюк,Перспективи земельної реформи в Україні: дискусія на базі IAMO,"Dec 6, 2022",Національний університет біоресурсів і природокористування України,https://nubip.edu.ua/news/perspektyvy-zemelnoyi-reformy-v-ukrayini-dyskusiya-na-bazi-iamo-1
Дмитро Тесленко,Сєнкевич призначив експоліцейського керівником КП «Миколаївпастранс»,"Aug 16, 2024",НикВести,https://nikvesti.com/news/public/293642-kolyshnii-politseiskii-dmitro-teslenko-kerivnik-kp-mykolaivpastrans
Дмитро Тесленко,На Дніпропетровщині тривають розкопки кургану періоду ранньої бронзи,"Apr 30, 2021",LocalHistory,https://localhistory.org.ua/news/na-dnipropetrovshchini-trivaiut-rozkopki-kurganu-periodu-rannoyi-bronzi/
Дмитро Тесленко,У Миколаєві п’яні пасажири напали на водія автобуса,2 days ago,UKR.NET,https://www.ukr.net/news/details/criminal/113993744.html
Дмитро Тесленко,Турбота про незламних: Україна опановує надсучасні можливості в протезуванні,"Mar 25, 2023",УНІАН,https://www.unian.ua/society/turbota-pro-nezlamnih-ukrajina-opanovuye-nadsuchasni-mozhlivosti-v-protezuvanni-novini-lvova-12191886.html
Дмитро Тесленко,"У Миколаєві група п’яних молодиків побила водія комунального автобусу – за те, що вступився за пасажирів",2 days ago,Inshe.tv,https://inshe.tv/mykolayv/2025-10-15/956479/
Дмитро Тесленко,"Миколаївці просять новий маршрут до Широкої Балки: у ""Миколаївпастрансі"" пояснили, коли можливе сполучення",2 days ago,0512.com.ua,https://www.0512.com.ua/amp/news/4014917/mikolaivci-prosat-novij-marsrut-do-sirokoi-balki-u-mikolaivpastransi-poasnili-koli-mozlive-spolucenna
Дмитро Тесленко,Миколаїв отримає нові сучасні автобуси: транспортне оновлення вже на горизонті!,"Aug 9, 2025",Корабелов.ИНФО,https://korabelov.info/2025/08/550833/mykolaiv-otrymaie-novi-suchasni-avtobusy-transportne-onovlennia-vzhe-na-horyzonti/
Дмитро Тесленко,"«Організуємо максимально якісне прибирання», — у «Миколаївпастрансі» пообіцяли навести лад у автобусах після скарг містян",2 days ago,НикВести,https://nikvesti.com/news/public/310050-kp-mykolaivpastrans-promises-cleanliness-control-buses
Дмитро Тесленко,"Вони не прилетіли з Марса, — директор «Миколаївпастранс» відреагував на скарги містян щодо поведінки водіїв автобусів",1 week ago,UKR.NET,https://www.ukr.net/news/details/mikolayiv/113905086.html
Дмитро Тесленко,Вони не прилетіли з Марса: директор «Миколаївпастранс» відповів на скарги городян про поведінку водіїв,1 week ago,UKR.NET,https://www.ukr.net/news/details/mikolayiv/113898708.html
Дмитро Тесленко,У Миколаєві п’яні пасажири напали на водія автобуса,2 days ago,НикВести,https://nikvesti.com/news/incidents/310047-na-vodiia-avtobusu-mykolaivpastrans-napaly-piani-pasazhyry
Дмитро Тесленко,Чому у Миколаєві в автобусах не працюють кондиціонери,"Jul 16, 2025",UKR.NET,https://www.ukr.net/news/details/mikolayiv/112452237.html
Дмитро Тесленко,Містяни просять «Миколаївпастранс» розробити маршрут до Широкої Балки: директор КП прокоментував,1 week ago,UKR.NET,https://www.ukr.net/news/details/mikolayiv/113901866.html
Дмитро Тесленко,Акція до Дня Незалежності: У Миколаєві пасажири у вишиванках 24 серпня зможуть безкоштовно їздити у комунальних автобусах,"Aug 18, 2025",NEWS.PN,https://news.pn/uk/public/330831
Дмитро Тесленко,У Миколаєві попрощались з директором «Миколаївводоканалу» Борисом Дуденко,16 hours ago,NEWS.PN,https://news.pn/uk/public/333784
